M, N, K, iter, error, time
512, 42, 42, 1, 3890798.560171, 30.000000
512, 42, 42, 2, 3890798.560171, 30.000000
512, 42, 42, 3, 3890798.560171, 30.000000
512, 42, 42, 4, 3890798.560171, 30.000000
512, 42, 42, 5, 3890798.560171, 30.000000
512, 42, 67, 1, 3237.630090, 30.000000
512, 42, 67, 2, 3237.630090, 20.000000
512, 42, 67, 3, 3237.630090, 30.000000
512, 42, 67, 4, 3237.630090, 40.000000
512, 42, 67, 5, 2466.546523, 40.000000
512, 42, 92, 1, 933.433099, 30.000000
512, 42, 92, 2, 933.433099, 30.000000
512, 42, 92, 3, 933.433099, 40.000000
512, 42, 92, 4, 933.433099, 30.000000
512, 42, 92, 5, 933.433099, 30.000000
512, 42, 117, 1, 721.273721, 40.000000
512, 42, 117, 2, 721.273721, 40.000000
512, 42, 117, 3, 714.970672, 40.000000
512, 42, 117, 4, 714.970672, 40.000000
512, 42, 117, 5, 714.970672, 40.000000
512, 42, 142, 1, 616.373030, 40.000000
512, 42, 142, 2, 616.373030, 50.000000
512, 42, 142, 3, 616.373030, 40.000000
512, 42, 142, 4, 616.373030, 40.000000
512, 42, 142, 5, 616.373030, 40.000000
512, 42, 167, 1, 591.225363, 50.000000
512, 42, 167, 2, 591.225363, 50.000000
512, 42, 167, 3, 591.225363, 50.000000
512, 42, 167, 4, 591.225363, 40.000000
512, 42, 167, 5, 591.225363, 40.000000
512, 42, 192, 1, 572.657788, 50.000000
512, 42, 192, 2, 572.657788, 50.000000
512, 42, 192, 3, 572.657788, 50.000000
512, 42, 192, 4, 579.642229, 50.000000
512, 42, 192, 5, 579.642229, 50.000000
512, 42, 217, 1, 554.759999, 60.000000
512, 42, 217, 2, 554.759999, 60.000000
512, 42, 217, 3, 554.759999, 60.000000
512, 42, 217, 4, 554.759999, 50.000000
512, 42, 217, 5, 554.759999, 70.000000
512, 42, 242, 1, 545.933233, 60.000000
512, 42, 242, 2, 545.933233, 60.000000
512, 42, 242, 3, 545.933233, 60.000000
512, 42, 242, 4, 545.933233, 60.000000
512, 42, 242, 5, 545.933233, 60.000000
512, 47, -1, 0, 507.614526, 290.000000
512, 47, 47, 1, 10403570.015877, 40.000000
512, 47, 47, 2, 10403570.015877, 30.000000
512, 47, 47, 3, 10403570.015877, 30.000000
512, 47, 47, 4, 10403570.015877, 30.000000
512, 47, 47, 5, 10403570.015877, 30.000000
512, 47, 72, 1, 2825.601822, 30.000000
512, 47, 72, 2, 2825.601822, 40.000000
512, 47, 72, 3, 2825.601822, 30.000000
512, 47, 72, 4, 2825.601822, 30.000000
512, 47, 72, 5, 2825.601822, 30.000000
512, 47, 97, 1, 926.356211, 30.000000
512, 47, 97, 2, 926.356211, 30.000000
512, 47, 97, 3, 926.356211, 40.000000
512, 47, 97, 4, 1057.393133, 40.000000
512, 47, 97, 5, 1057.393133, 40.000000
512, 47, 122, 1, 766.201748, 50.000000
512, 47, 122, 2, 766.201748, 40.000000
512, 47, 122, 3, 766.201748, 40.000000
512, 47, 122, 4, 766.201748, 50.000000
512, 47, 122, 5, 766.201748, 40.000000
512, 47, 147, 1, 655.478937, 40.000000
512, 47, 147, 2, 668.081811, 50.000000
512, 47, 147, 3, 668.081811, 50.000000
512, 47, 147, 4, 668.081811, 40.000000
512, 47, 147, 5, 668.081811, 40.000000
512, 47, 172, 1, 621.105240, 50.000000
512, 47, 172, 2, 621.105240, 50.000000
512, 47, 172, 3, 621.105240, 40.000000
512, 47, 172, 4, 608.514608, 50.000000
512, 47, 172, 5, 608.514608, 60.000000
512, 47, 197, 1, 584.547305, 60.000000
512, 47, 197, 2, 584.547305, 50.000000
512, 47, 197, 3, 584.547305, 60.000000
512, 47, 197, 4, 584.547305, 60.000000
512, 47, 197, 5, 584.547305, 60.000000
512, 47, 222, 1, 564.910743, 60.000000
512, 47, 222, 2, 564.910743, 70.000000
512, 47, 222, 3, 564.910743, 70.000000
512, 47, 222, 4, 564.910743, 60.000000
512, 47, 222, 5, 564.910743, 60.000000
512, 47, 247, 1, 556.390275, 70.000000
512, 47, 247, 2, 556.390275, 70.000000
512, 47, 247, 3, 553.572992, 60.000000
512, 47, 247, 4, 553.572992, 70.000000
512, 47, 247, 5, 553.572992, 80.000000
