M, N, K, iter, error, time
256, 18, 78, 2, 292.332070, 10.000000
256, 18, 78, 3, 292.332070, 0.000000
256, 18, 78, 4, 292.332070, 10.000000
256, 18, 78, 5, 292.332070, 0.000000
256, 18, 90, 1, 278.371937, 10.000000
256, 18, 90, 2, 278.371937, 10.000000
256, 18, 90, 3, 278.371937, 10.000000
256, 18, 90, 4, 278.371937, 0.000000
256, 18, 90, 5, 278.371937, 10.000000
256, 18, 102, 1, 274.210301, 10.000000
256, 18, 102, 2, 274.210301, 10.000000
256, 18, 102, 3, 274.210301, 10.000000
256, 18, 102, 4, 274.210301, 10.000000
256, 18, 102, 5, 274.210301, 10.000000
256, 18, 114, 1, 269.809914, 10.000000
256, 18, 114, 2, 269.809914, 10.000000
256, 18, 114, 3, 269.809914, 10.000000
256, 18, 114, 4, 269.809914, 10.000000
256, 18, 114, 5, 269.809914, 10.000000
256, 19, -1, 0, 254.541221, 20.000000
256, 19, 19, 1, 86949.922585, 0.000000
256, 19, 19, 2, 86949.922585, 10.000000
256, 19, 19, 3, 86949.922585, 10.000000
256, 19, 19, 4, 86949.922585, 10.000000
256, 19, 19, 5, 86949.922585, 10.000000
256, 19, 31, 1, 1065.163897, 0.000000
256, 19, 31, 2, 1065.163897, 10.000000
256, 19, 31, 3, 1065.163897, 0.000000
256, 19, 31, 4, 1065.163897, 10.000000
256, 19, 31, 5, 1065.163897, 0.000000
256, 19, 43, 1, 442.840170, 10.000000
256, 19, 43, 2, 442.840170, 0.000000
256, 19, 43, 3, 442.840170, 10.000000
256, 19, 43, 4, 442.840170, 0.000000
256, 19, 43, 5, 442.840170, 10.000000
256, 19, 55, 1, 332.261711, 10.000000
256, 19, 55, 2, 332.261711, 10.000000
256, 19, 55, 3, 332.261711, 10.000000
256, 19, 55, 4, 332.261711, 0.000000
256, 19, 55, 5, 332.261711, 10.000000
256, 19, 67, 1, 305.119027, 10.000000
256, 19, 67, 2, 305.119027, 10.000000
256, 19, 67, 3, 305.119027, 10.000000
256, 19, 67, 4, 305.119027, 0.000000
256, 19, 67, 5, 305.119027, 10.000000
256, 19, 79, 1, 291.760319, 10.000000
256, 19, 79, 2, 291.760319, 0.000000
256, 19, 79, 3, 291.760319, 10.000000
256, 19, 79, 4, 291.760319, 10.000000
256, 19, 79, 5, 291.760319, 0.000000
256, 19, 91, 1, 284.065536, 10.000000
256, 19, 91, 2, 284.065536, 10.000000
256, 19, 91, 3, 284.065536, 10.000000
256, 19, 91, 4, 284.065536, 10.000000
256, 19, 91, 5, 284.065536, 10.000000
256, 19, 103, 1, 278.930400, 10.000000
256, 19, 103, 2, 278.930400, 10.000000
256, 19, 103, 3, 278.930400, 20.000000
256, 19, 103, 4, 278.930400, 10.000000
256, 19, 103, 5, 279.713899, 10.000000
